"Path","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"/blog-kapitalnyi-remont-pressa.html","2026-07-23 - 2026-08-23","4.00","0.00","0.00","22.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","22.00",""
"/remont-trubogibov-krasnoyarsk.html","2026-07-23 - 2026-08-23","4.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","6.00","","0.00","0.00","","",""
"/remont-ruchnogo-trubogiba-ekaterinburg.html","2026-07-23 - 2026-08-23","4.00","0.00","0.00","3.50","","0.00","0.00","","2.00","0.00","0.00","2.50","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"/remont-gilotin-moskva.html","2026-07-23 - 2026-08-23","4.00","0.00","0.00","6.75","","0.00","0.00","","1.00","0.00","0.00","3.00","","2.00","0.00","0.00","4.00","","1.00","0.00","0.00","16.00",""
"/remont-ruchnogo-trubogiba-sankt-peterburg.html","2026-07-23 - 2026-08-23","4.00","0.00","0.00","26.75","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","2.00","0.00","0.00","48.50",""
"/remont-profilgebiv-sankt-peterburg.html","2026-07-23 - 2026-08-23","4.00","1.00","25.00","4.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","3.00","0.00","0.00","4.67","","0.00","0.00","","",""
"/remont-listogibov-naberezhnye-chelny.html","2026-07-23 - 2026-08-23","4.00","0.00","0.00","3.00","","0.00","0.00","","4.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"/portfolio.html","2026-07-23 - 2026-08-23","3.00","1.00","33.33","3.33","3.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-listogibov-ekaterinburg.html","2026-07-23 - 2026-08-23","3.00","0.00","0.00","9.33","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","1.00","0.00","0.00","11.00",""
"/remont-lentochnyh-pil-kalyazin.html","2026-07-23 - 2026-08-23","3.00","0.00","0.00","5.33","","0.00","0.00","","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"/remont-valtsev-novosibirsk.html","2026-07-23 - 2026-08-23","3.00","0.00","0.00","4.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"/remont-listogibov-korolyov.html","2026-07-23 - 2026-08-23","3.00","1.00","33.33","5.67","5.00","0.00","0.00","","1.00","0.00","0.00","3.00","","2.00","1.00","50.00","7.00","5.00","0.00","0.00","","",""
"/remont-ruchnogo-trubogiba-krasnoyarsk.html","2026-07-23 - 2026-08-23","3.00","0.00","0.00","2.33","","2.00","0.00","0.00","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/blog-remont-listogibov-chpu.html","2026-07-23 - 2026-08-23","3.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","2.00","0.00","0.00","17.00",""
"/remont-listogibov-kaluga.html","2026-07-23 - 2026-08-23","3.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/remont-gilotin-smolensk.html","2026-07-23 - 2026-08-23","3.00","3.00","100.00","1.67","1.33","1.00","2.00","200.00","2.00","1.00","50.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-kalachinsk.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"/remont-lentochnyh-pil-simferopol.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-gilotin-ekaterinburg.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"/blog-obsluzhivanie-lentochnoy-pily-chek-list.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","23.00",""
"/remont-ruchnogo-trubogiba-chkalovsk.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-porkhov.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"/remont-listogibov-shchyolkovo.html","2026-07-23 - 2026-08-23","2.00","2.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","2.00","2.00","100.00","4.00","4.00","0.00","0.00","","",""
"/remont-lentochnyh-pil-babaevo.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"/price.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/remont-trubogibov-krasnoufimsk.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"/remont-trubogibov-chelyabinsk.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"/remont-listogibov-sergiev-posad.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"/remont-lentochnyh-pil-nizhneudinsk.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"/remont-gilotin-belgorod.html","2026-07-23 - 2026-08-23","2.00","1.00","50.00","4.50","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-ishim.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"/remont-lentochnyh-pil-kargopol.html","2026-07-23 - 2026-08-23","2.00","2.00","100.00","6.50","5.00","0.00","0.00","","0.00","0.00","","","","2.00","2.00","100.00","6.50","5.00","0.00","0.00","","",""
"/remont-lentochnyh-pil-belinskiy.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"/remont-ruchnogo-trubogiba-kyzyl.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","12.00",""
"/remont-lentochnyh-pil-malaya-vishera.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"/remont-trubogibov-rostov-na-donu.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","1.00","0.00","0.00","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-melenki.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"/remont-lentochnyh-pil-gorodets.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"/remont-gilotin-novosibirsk.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-trubogibov-nizhniy-novgorod.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"/blog.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","18.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","1.00","0.00","0.00","33.00",""
"/remont-ruchnogo-trubogiba-rostov-na-donu.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-sochi.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-shakhunya.html","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"/remont-valtsev-kyshtym.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-almetevsk.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-slyudyanka.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-pushkino.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"/remont-lentochnyh-pil-ust-kut.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-uglich.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-kudymkar.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-valtsev-sankt-peterburg.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/remont-gilotin-zelenogorsk.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-polevskoy.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-shuya.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"/remont-lentochnyh-pil-ryazan.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-kazan.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"/remont-gilotin-samara.html","2026-07-23 - 2026-08-23","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-emanzhelinsk.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"/remont-gilotin-novotroitsk.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-glazov.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"/remont-lentochnyh-pil-likhoslavl.html","2026-07-23 - 2026-08-23","1.00","2.00","200.00","1.00","1.00","1.00","2.00","200.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-ruchnogo-trubogiba-dubna.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-armaturogiba-tolyatti.html","2026-07-23 - 2026-08-23","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-listogibov-krasnodar.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"/blog-remont-trubogibov.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"/remont-lentochnyh-pil-morshansk.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"/remont-listogibov-moskva.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-voronezh.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"/remont-listogibov-semiluki.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"/remont-listogibov-bugulma.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-listogibov-safonovo.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"/remont-lentochnyh-pil-tula.html","2026-07-23 - 2026-08-23","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-velikiy-ustyug.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/remont-listogibov-nazarovo.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"/remont-profilgebiv.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"/remont-valtsev-nizhniy-novgorod.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-gilotin-sudak.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/remont-gilotin-ufa.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-listogibov-aznakaevo.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-roslavl.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"/remont-lentochnyh-pil-kamyshlov.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"/remont-ruchnogo-trubogiba-birsk.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"/remont-lentochnyh-pil-kovylkino.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"/remont-lentochnyh-pil-zvenigorod.html","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
