"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"листогиб гидравлический пресс не реагирует на изменения угла","2026-07-23 - 2026-08-23","4.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.50","","0.00","0.00","","",""
"стойка delem","2026-07-23 - 2026-08-23","4.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","8.50","","0.00","0.00","","",""
"ремонт листогиба амада","2026-07-23 - 2026-08-23","4.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.00","","1.00","0.00","0.00","12.00",""
"ремонт суперфинишный станок","2026-07-23 - 2026-08-23","4.00","0.00","0.00","7.75","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","7.75","","0.00","0.00","","",""
"капитальный ремонт прессового оборудования","2026-07-23 - 2026-08-23","4.00","0.00","0.00","22.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","22.00",""
"ремонт трубогиба гидравлического","2026-07-23 - 2026-08-23","4.00","1.00","25.00","9.25","10.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","8.67","10.00","1.00","0.00","0.00","11.00",""
"ремонт листогибочного станка в челнах","2026-07-23 - 2026-08-23","4.00","0.00","0.00","3.00","","0.00","0.00","","4.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт пневматических станков в москве","2026-07-23 - 2026-08-23","4.00","0.00","0.00","45.75","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","45.75",""
"ремонт станков trumpf","2026-07-23 - 2026-08-23","4.00","0.00","0.00","25.75","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","4.00","0.00","0.00","25.75",""
"на листогибочном станке не работает блок который отвечает за игрек какие причины","2026-07-23 - 2026-08-23","3.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт гильотинных ножниц","2026-07-23 - 2026-08-23","3.00","2.00","66.67","12.67","8.00","0.00","0.00","","0.00","0.00","","","","1.00","2.00","200.00","8.00","8.00","2.00","0.00","0.00","15.00",""
"ремонт ручных гидравлических профилегибов","2026-07-23 - 2026-08-23","3.00","0.00","0.00","4.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","4.67","","0.00","0.00","","",""
"ошибка е19 листогиба ermaksan","2026-07-23 - 2026-08-23","3.00","0.00","0.00","10.67","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","2.00","0.00","0.00","11.50",""
"диагностика и ремонт станков","2026-07-23 - 2026-08-23","3.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","1.00","0.00","0.00","30.00",""
"ремонт вальцовочного станка","2026-07-23 - 2026-08-23","3.00","1.00","33.33","7.00","7.00","0.00","0.00","","0.00","0.00","","","","3.00","1.00","33.33","7.00","7.00","0.00","0.00","","",""
"гидравлический листогиб не гнет 90 градусов что делать","2026-07-23 - 2026-08-23","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","0.00","0.00","11.00",""
"как выправить след от гиба на листогибе","2026-07-23 - 2026-08-23","3.00","0.00","0.00","9.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"стандартный пароль на delem da-58t","2026-07-23 - 2026-08-23","3.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","2.00","0.00","0.00","11.50",""
"delem da-69t гибочный поднялся по y выше нормы и не видит значение","2026-07-23 - 2026-08-23","3.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.00","","0.00","0.00","","",""
"листогибочный станок с чпу серии е2590 не опускается плансон причины неисправности","2026-07-23 - 2026-08-23","3.00","0.00","0.00","5.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.33","","0.00","0.00","","",""
"ремонт листогибочных станков королев болшево","2026-07-23 - 2026-08-23","3.00","1.00","33.33","5.67","5.00","0.00","0.00","","1.00","0.00","0.00","3.00","","2.00","1.00","50.00","7.00","5.00","0.00","0.00","","",""
"ремонт гидравлических листогибов","2026-07-23 - 2026-08-23","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","1.00","0.00","0.00","12.00",""
"+7 993 908-98-37","2026-07-23 - 2026-08-23","3.00","1.00","33.33","3.00","2.00","0.00","0.00","","2.00","1.00","50.00","2.50","2.00","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"da695 delem как поднять былку траверсу принудительно","2026-07-23 - 2026-08-23","3.00","0.00","0.00","9.33","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","9.33","","0.00","0.00","","",""
"ремонт ленточнопильных станков по дереву в кулебаках","2026-07-23 - 2026-08-23","3.00","1.00","33.33","4.33","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","2.00","0.00","0.00","5.00","","0.00","0.00","","",""
"трескаются ножи на гильотине","2026-07-23 - 2026-08-23","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","8.67","","0.00","0.00","","",""
"ремонт панели листогиба ermaksan","2026-07-23 - 2026-08-23","3.00","0.00","0.00","2.67","","0.00","0.00","","3.00","0.00","0.00","2.67","","0.00","0.00","","","","0.00","0.00","","",""
"гидравлический листогиб dmp cnc 160-30 ремонт донецк","2026-07-23 - 2026-08-23","3.00","2.00","66.67","1.33","1.50","2.00","1.00","50.00","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"24 станки пу","2026-07-23 - 2026-08-23","3.00","1.00","33.33","2.00","1.00","1.00","1.00","100.00","2.00","0.00","0.00","2.50","","0.00","0.00","","","","0.00","0.00","","",""
"delem da 40 t сервисное меню","2026-07-23 - 2026-08-23","3.00","2.00","66.67","15.67","17.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","3.00","2.00","66.67","15.67","17.00"
"листогиб гидравлический с чпу ошибка сервопривода?","2026-07-23 - 2026-08-23","3.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт трубогибов гидравлических в новосибирске адреса","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"типичные неисправности гибочного ручного станка","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ошибка на стойке delem d0089","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"диагностика и выезд и восстановление станка","2026-07-23 - 2026-08-23","2.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","12.00",""
"услуга ремонт вальцов","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"трубогиб услуга трубогиб в кызыле","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","12.00",""
"ремонт листогиба amada в москве","2026-07-23 - 2026-08-23","2.00","0.00","0.00","2.00","","0.00","0.00","","2.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"24stanki москва","2026-07-23 - 2026-08-23","2.00","1.00","50.00","1.50","1.00","1.00","1.00","100.00","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт пил шахунья","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"ремонт и обслуживание оборудования сервис станков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","11.00",""
"калибровка чпу вальцов","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.50","","0.00","0.00","","",""
"ремонт листогибов электроники в спб","2026-07-23 - 2026-08-23","2.00","1.00","50.00","7.00","7.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","7.00","7.00","0.00","0.00","","",""
"ремонт промышленного оборудования","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"цто cnc стойка ошиька ax_err_0000021","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"мастер по ремонту станков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","12.00",""
"ремонт листогибочных станков щелково","2026-07-23 - 2026-08-23","2.00","2.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","2.00","2.00","100.00","4.00","4.00","0.00","0.00","","",""
"замена вальца","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","5.50","","0.00","0.00","","",""
"стойка delem зеленый индикатор","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"гилятина бумаги сколько стоит ремонт механики","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"по каким причинам на листогибе постоянно работает медленный ход","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"почему гибочный станок очень медленно стал гнуть спустя время ?","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"услуга ремонт листогибов","2026-07-23 - 2026-08-23","2.00","0.00","0.00","6.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","6.50","","0.00","0.00","","",""
"ремонт вальцовки","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","0.00","0.00","","",""
"стойка delem что это","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"сервис и обслуживание станков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ошибка преследования на гибочном станке","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","1.00","0.00","0.00","11.00",""
"замена стойки чпу da 66w на da 66t","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт гидравлического трубогиба в самаре сервис","2026-07-23 - 2026-08-23","2.00","3.00","150.00","3.50","2.00","0.00","0.00","","1.00","3.00","300.00","2.00","2.00","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"кто ремонтирует бензопилу в белинском","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"стоимость ремонта ленточнопильных станков","2026-07-23 - 2026-08-23","2.00","1.00","50.00","6.00","6.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","6.00","6.00","0.00","0.00","","",""
"ремонт и обслуживание промышленного оборудования","2026-07-23 - 2026-08-23","2.00","0.00","0.00","33.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","33.00",""
"услуга ремонт ленточнопильных стан","2026-07-23 - 2026-08-23","2.00","0.00","0.00","16.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","16.50",""
"не включается экран чпу станка","2026-07-23 - 2026-08-23","2.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","9.00","","0.00","0.00","","",""
"капитальный ремонт гильотины","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.50","","0.00","0.00","","",""
"ленточная пила станок пищевой ремонт","2026-07-23 - 2026-08-23","2.00","1.00","50.00","5.00","5.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","5.00","5.00","0.00","0.00","","",""
"лихинг станков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.50","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.50",""
"на листа гиби ошибка связи дм что это","2026-07-23 - 2026-08-23","2.00","1.00","50.00","3.00","3.00","0.00","0.00","","2.00","1.00","50.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"что делать если заготовки не полностью ложится на матрицу листогиб","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","12.00",""
"stanki24","2026-07-23 - 2026-08-23","2.00","0.00","0.00","5.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"услуги трубогиб в чкаловске","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.00","","0.00","0.00","","2.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт гильотина в смоленске","2026-07-23 - 2026-08-23","2.00","2.00","100.00","1.50","1.00","1.00","2.00","200.00","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт листолиба эрмаксан в спб","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт листогиба b power самара","2026-07-23 - 2026-08-23","2.00","0.00","0.00","3.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт пил ленточных","2026-07-23 - 2026-08-23","2.00","1.00","50.00","7.50","5.00","0.00","0.00","","0.00","0.00","","","","2.00","1.00","50.00","7.50","5.00","0.00","0.00","","",""
"ремонт станков и промышленного оборудования","2026-07-23 - 2026-08-23","2.00","0.00","0.00","21.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","21.00",""
"ремонт ручных трубогибов гидравлических","2026-07-23 - 2026-08-23","2.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","2.00","0.00","0.00","11.00",""
"услуга ремонт трубогиба","2026-07-23 - 2026-08-23","2.00","0.00","0.00","4.50","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"диагностика и выезд станка восстановление","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"сервис станков","2026-07-23 - 2026-08-23","2.00","0.00","0.00","8.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","1.00","0.00","0.00","12.00",""
"сервис по ремонту листогибов","2026-07-23 - 2026-08-23","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"замена ножей на гильотине услуга","2026-07-23 - 2026-08-23","2.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","1.00","0.00","0.00","12.00",""
"техническое обслуживание трубогибочных станков cbc uni 60 в самаре","2026-07-23 - 2026-08-23","2.00","1.00","50.00","2.00","1.00","1.00","1.00","100.00","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
