aleksandrov|Александров|Александрова|Александрову|Александрове
roslavl|Рославль|Рославля|Рославлю|Рославле
rostov-velikiy|Ростов Великий|Ростова Великого|Ростову Великому|Ростове Великом
ruza|Руза|Рузы|Рузе|Рузе
ryazan|Рязань|Рязани|Рязани|Рязани
ryazhsk|Ряжск|Ряжска|Ряжску|Ряжске
rybinsk|Рыбинск|Рыбинска|Рыбинску|Рыбинске
rybnoe|Рыбное|Рыбного|Рыбному|Рыбном
rzhev|Ржев|Ржева|Ржеву|Ржеве
safonovo|Сафоново|Сафонова|Сафонову|Сафонове
sasovo|Сасово|Сасова|Сасову|Сасове
sergiev-posad|Сергиев Посад|Сергиева Посада|Сергиеву Посаду|Сергиевом Посаде
serpukhov|Серпухов|Серпухова|Серпухову|Серпухове
shatsk|Шацк|Шацка|Шацку|Шацке
shatura|Шатура|Шатуры|Шатуре|Шатуре
shcherbinka|Щербинка|Щербинки|Щербинке|Щербинке
shchyokino|Щёкино|Щёкина|Щёкину|Щёкине
shchyolkovo|Щёлково|Щёлкова|Щёлкову|Щёлкове
skopin|Скопин|Скопина|Скопину|Скопине
smolensk|Смоленск|Смоленска|Смоленску|Смоленске
sobinka|Собинка|Собинки|Собинке|Собинке
solnechnogorsk|Солнечногорск|Солнечногорска|Солнечногорску|Солнечногорске
sosenskiy|Сосенский|Сосенского|Сосенскому|Сосенском
sovetsk|Советск|Советска|Советску|Советске
spas-demensk|Спас-Деменск|Спас-Деменска|Спас-Деменску|Спас-Деменске
spas-klepiki|Спас-Клепики|Спас-Клепиков|Спас-Клепикам|Спас-Клепиках
spassk-ryazanskiy|Спасск-Рязанский|Спасска-Рязанского|Спасску-Рязанскому|Спасске-Рязанском
staraya-kupavna|Старая Купавна|Старой Купавны|Старой Купавне|Старой Купавне
staritsa|Старица|Старицы|Старице|Старице
strunino|Струнино|Струнина|Струнину|Струнине
stupino|Ступино|Ступина|Ступину|Ступине
sudogda|Судогда|Судогды|Судогде|Судогде
sukhinichi|Сухиничи|Сухиничей|Сухиничам|Сухиничах
suvorov|Суворов|Суворова|Суворову|Суворове
suzdal|Суздаль|Суздаля|Суздалю|Суздале
sychyovka|Сычёвка|Сычёвки|Сычёвке|Сычёвке
taldom|Талдом|Талдома|Талдому|Талдоме
tarusa|Таруса|Тарусы|Тарусе|Тарусе
toropets|Торопец|Торопца|Торопцу|Торопце
torzhok|Торжок|Торжка|Торжку|Торжке
troitsk|Троицк|Троицка|Троицку|Троицке
tula|Тула|Тулы|Туле|Туле
tutaev|Тутаев|Тутаева|Тутаеву|Тутаеве
tver|Тверь|Твери|Твери|Твери
udomlya|Удомля|Удомли|Удомле|Удомле
uglich|Углич|Углича|Угличу|Угличе
uzlovaya|Узловая|Узловой|Узловой|Узловой
velizh|Велиж|Велижа|Велижу|Велиже
venyov|Венёв|Венёва|Венёву|Венёве
vereya|Верея|Вереи|Верее|Верее
vesegonsk|Весьегонск|Весьегонска|Весьегонску|Весьегонске
vidnoe|Видное|Видного|Видному|Видном
vladimir|Владимир|Владимира|Владимиру|Владимире
volokolamsk|Волоколамск|Волоколамска|Волоколамску|Волоколамске
voskresensk|Воскресенск|Воскресенска|Воскресенску|Воскресенске
vyazma|Вязьма|Вязьмы|Вязьме|Вязьме
vyazniki|Вязники|Вязников|Вязникам|Вязниках
vyshniy-volochyok|Вышний Волочёк|Вышнего Волочка|Вышнему Волочку|Вышнем Волочке
vysokovsk|Высоковск|Высоковска|Высоковску|Высоковске
yakhroma|Яхрома|Яхромы|Яхроме|Яхроме
yaroslavl|Ярославль|Ярославля|Ярославлю|Ярославле
yartsevo|Ярцево|Ярцева|Ярцеву|Ярцеве
yasnogorsk|Ясногорск|Ясногорска|Ясногорску|Ясногорске
yukhnov|Юхнов|Юхнова|Юхнову|Юхнове
yurev-polskiy|Юрьев-Польский|Юрьева-Польского|Юрьеву-Польскому|Юрьеве-Польском
zapadnaya-dvina|Западная Двина|Западной Двины|Западной Двине|Западной Двине
zaraysk|Зарайск|Зарайска|Зарайску|Зарайске
zelenograd|Зеленоград|Зеленограда|Зеленограду|Зеленограде
zhizdra|Жиздра|Жиздры|Жиздре|Жиздре
zhukov|Жуков|Жукова|Жукову|Жукове
zhukovskiy|Жуковский|Жуковского|Жуковскому|Жуковском
zubtsov|Зубцов|Зубцова|Зубцову|Зубцове
zvenigorod|Звенигород|Звенигорода|Звенигороду|Звенигороде
